qrID,quoteText,responseText,topic,quote_stance,response_stance,text_disagree_agree,stance_disagree_agree
86@3,are you denying that the african eve model was not born on a computer \? \? you do n't know your own theory very well look it up yourself any well informed evolutionist should know this,"well , considering how there is no such thing as a evolutionist how is out of africa wrong when the oldest human bones are found in africa and get progressively younger across the world with the youngest bones being found in northeast america \?",evolution,0,1,0,0
86@4,"i do think rape is wrong , but that is again , my view of things \( a lot of others to , but shrug \) because it forces someone 's will upon someone else and it hurts them",so then your worldview must be incorrect too \?,existence of God,0,1,0,0
86@6,"i like your thinking , although i disagree with it you say that god is the universe i propose that god is relational that without a relational god we are truly hopeless","why \? i have heard variations on this many times and it utterly baffles me why do you feel we need a divine being who is interested in us , personally and collectively , for us to have any 'hope' \? hope , for me , as in hope for humanity , comes from what i see around me as being the positive qualities that we have as a race i cannot believe that a universal consciousness would care \( in terms of what we humans think of as caring \) about what happens to us in the long run , because the long run is either heat death or big crunch if we are still around in this unimaginably distant future we may well have developed means to avoid the same fate as the universe , but if we do n't , or if we die out before that , then that 's that end of story this is kind of tied in to the question i had trouble answering before , the answer to which i am still having problems defining if god is the universe , he she it is also every one of us , every particle as i said before if you look at the history of the planet in terms of particles , it 's all just one dynamic system , the rocks , the oceans , the atmosphere , and the biosphere as well the plants and creatures on this planet are made of atoms that used to be part of the rocks , oceans , and atmosphere from this singular perspective there is no distinction between the living and the non living parts of the planet it 's one colossal biochemical reaction i will concede that it is possible that this 'god' entity might be aware of our own consciousness , because according to my own logic the entity also is the matter that constitutes our brains , and it is certainly the case that many people believe god has spoken to them some of these people are treated as having had religious experiences , some are treated as having lost their sanity however this in no way leads me to contemplate the idea that the bible , koran , hindu vedas etc are any more revelatory truths than are the greek myths or the aboriginal dreamtime these are human constructs some of the individuals mentioned in these various texts may have had 'divine' experiences \( or may have been insane same difference \) but it does not logically follow that any of these texts have any special significance , either compared with one another or even if accepted equally or on their own merit",existence of God,1,0,0,0
87@1,"\( 19 \) even if criminals didn 8217 t have access to guns , they could always use baseball bats or knives to commit crimes instead , because we all know that it 8217 s just as easy to do a drive by stabbing or clubbing as it is to do a drive by shooting",so now we 're embracing the concept that the victims of brutal stabbings are less important than those who 've been shot to death \?,gun control,1,0,0,0
87@3,the created universe and life were random events,and you know this how \?,evolution,0,1,0,0
87@6,"much like whether it was julius caesar who crossed the rubicon , or a decoy of his","more proof to prove my point , thanks !",existence of God,0,1,1,0
88@0,i myself am a laymen who sees creationism as a branch of christian apologetics and one vital aspect of given every man who asks the reason for the hope that is within him,so you admit right from the beginning that creationism is not a scientific endeavor but one of religion you also falsify your own dichotomy in the next sentence by limiting creationism to your particular brand of christianity and thus exclude various other myths that are as valid as the mythology of bronze age herdsmen i do n't know what the rest of your sentence has to do with science so i suppose it is religious it is therefore meaningless in a discussion of science,evolution,1,1,0,1
88@1,"based on threads i 've been reading here , there is a real tendency among some of the pro choicers to portray pregnancy as a horrible thing that cause women to suffer that it is somthing bad or undesirable how could the opportunity to bring a life into the world , a wonderful miracle , be so awful by default \? rather than bring into this peripheral thoughts to the question , such as rights and legal issues \( which are discussed at length here already in other threads \) , i 'd love to hear straightforward relelvant answers to this i am also already aware that pregnancy can sometimes involve complications or that it can at times cause financial constraints but i am mainly interested in seeing why there is a default tendency in pro choice arguments to argue from the standpoint of pregnancy being a bad thing any thoughts \?","if a woman likes pregnancy , that is her preference if a woman hates pregnancy , that is also her preference simple as that",abortion,0,1,0,0
88@2,i will not alter my foundational belief in marriage and family just because some cry for freedom at all costs,"i do n't have to say anything here , your post made it sound sick enough yes , freedaom at all cost is n't that the theory this country was founded by \?",gay marriage,0,1,0,0
88@3,"regardless of the name change , the calendars are still keyed on the birth and death of christ and that will be so at least until the atheists are able to come up with another numbering system and force it on everyone else just to pacify their own baby mentalities","i thought that the most commonly accepted date for the alleged birth of jesus was in 4 b c assuming the current calendar really were keyed on the birth of christ , how could christ have been born before christ \?",evolution,1,1,0,1
88@4,"hey ! i was gonna say the same thing jim just said , whadya know ! but basically , god cannot do the illogical , like create a round square , simply because it cannot be done it is by nature illiogical for any rock to be unbreakable , no matter how hard it is in fact , something as simple as adding 2 2 and getting 3 is impossible for god that doesnt make him less omnipotent , just means that there are certain illogicalities that can never exist","ditto to unkerpaulie , you are good ! i really enjoyed reading your post , especially the last part just means that there are cerain illogicalities that can never exist i would also say that god is also a logical being from whom we derive our logic which appears to be missing in the original post the original post does not put limits on god 's power , just , as unkerpaulie said , there are certain illogicalities that can never exist",existence of God,0,1,1,0
88@5,prove it ! prove that there would be no rooted trees at all within the sedimentary layers at all and prove that there would be no tracks or burrows or evidence of plant life as we find in fact we would expect to find all of those things as evidence that this event was fast and cataclysmic in order to find all of these things together in the same areas,"archie , instead of deciding before hand that i'm wrong , read what i'm saying what trees were growing during this flood \? i'm guessing there were no acorns sprouting into oaks during the flood therefore , in this flood sediment , we would find no rooted trees we would find no burrows , and we would find no tracks now we 've seen you ca n't answer my question whether this is because you did n't understand it , or did n't want to consider it , i do n't know but there is no global flood sediment which meets the criteria neccessary to demonstrate a global flood",evolution,0,1,0,0
89@0,"n wells if the neanderthal morphology changed into modern human morphology quickly , then that means non evolutionary mechanisms were responsible",well all you have to do is tell us the minimum time during which it could happen by nds theory and then how long it actually took and we can compare the numbers of course you will have to detail how you arrived at both sets of numbers enjoy,evolution,0,1,0,0
89@4,"if marriage is so sacred socially , then heterosexuals who get married should never divorce , and quickie marriages that celebrities have all of the time should n't be allowed \( not to mention things like joe millionaire and the bachelorette \) this should n't be a social issue because if it is , it 's allowing the government to make individuals to adhere to a set of moral codes that only a select group believes the government should approach this as a legal matter , which it is , and allow the legally binding marriage of homosexuals which affords them the same benefits that every other couple who pays 80 bucks to a local courthouse can enjoy if you have a problem with it socially , then you probably also have a problem with homosexuals in the first place , and thats a problem that you need to deal with on your own otherwise , keep your mouth shut and let the government dole out legal unions \( or dare i say marriages \) to same sex couples and let that be the end of it if the word marriage bothers you so much because of the religious background of the word , get over it the word is a useful way to describe the legal binding of any two individuals who may have a different faith than the one where some claim the word 's definition is derived from atheist couples get married in courthouses because marriage in the legal sense has no religious affiliation so , this being a purely legal matter , there should be no question that any two people can enjoy this legal right",i completely agree waxy,gay marriage,1,1,1,1
89@5,"\( genocide n the deliberate and systematic destruction of a national , racial , religious , political , cultural , ethnic , or other group defined by the exterminators as undesirable snip abortion supporters are infuriated at the notion that abortion is comparable to the holocaust because they incessantly argue that the unborn are n't people","that 's a bit of a sidestep abortion is not genocide because abortion is not destruction of a certain group of people based on race , religion , ethnicity , etc there is no way to make a case for abortion being genocide without making capitol punishment qualify as genocide frankly , i think it 's easier to do the latter \( yet most pro lifers are also pro death penalty \) if you want to make an argument , then make an argument but do n't call abortion genocide that 's just dumb",abortion,0,1,0,0
90@0,"i'm not familiar with the book , so ca n't comment upon it first hand however http www ncseweb org icons appears to have a detailed critique of the book and may be of interest to you too as i say i have n't read the original so cannot judge the quality of the link i'm supplying , so apologies in advance if it grossly misrepresents mr well 's case","ah johnathan wells is an evangilcal yec who got his education in biology to disprove evolution he rejects science at all levels i would not take serioiusly anybody associated with the 'discovery institute' mr wells does have the advantage of having a better education that most of them , but his degree was gotten to promote young earth creationism , and was paid for by sun yen moon i would say that the review is a bit high level , but accurate",evolution,1,1,1,1
90@1,"number the children of levi after the house of their fathers , by their families every male from a month old and upward shalt thou number them and moses numbered them according to the word of the lord numbers 3 15 16 tamar thy daughter in law hath played the harlot and also , behold , she is with child by whoredom and judah said , bring her forth , and let her be burnt genesis 38 24 exodus 21 22 \( rsv \) when people who are fighting injure a pregnant woman so that there is a miscarriage , and yet no further harm follows , the one responsible shall be fined what the womans husband demands , paying as much as the judges determine but thanks for not having anything constructive to say","oh good grief newbies are all the same on this forum honestly , how many times do you think i 've heard the exodus and numbers quote on this forum given my post count and join date \? do a search on the exodus one easy to see that is wrong the numbers quote has nothing to do with who or who is n't valuable to god that 's like saying counting people over the age of 40 years old means everyone below is not a person",abortion,1,0,0,0
91@3,"sorry to disappoint you , occam , but partial birth aboprtion is not extremely rare , as you purport","i believe my wording was very rare please do not exaggerate my statements by mis quoting me but as you have mentioned it , care to produce some figures on the frequency of partial birth abortions \? its just you have a habit of making over inflated statements to support your arguements",abortion,0,1,0,0
91@4,and your point is \?,"i was n't making a 'point' , just an observation but since you want a 'point' , nip back over to the swamp , that is , 'internet infidels \( atheists \) db' , and ask oolon colophid sp \? why he thinks the human appendix makes his 'point'",evolution,1,0,0,0
91@6,"it is disappointing that you would continue with this mistake i said that god is both knowable and unknowable you simply think that equates to the same thing , and thus you argue against what you believe i say , rather than what i said","you claim god is unknowable \( partially or otherwise , it does not matter \) you claim to know something of the unknowable , thus , you make a self contradictory statement again for what the third time \? drop it , you 're arguing illogically and i'm embarassed for you",evolution,0,1,0,0
92@0,"then there 's the fact that supporters of gun control have argued that gun owners should be required to pay a fee for each gun they register , and that the registration process should be something that needs to be repeated every single year , and the fee paid every time as well then there was the proposal over in pennsylvania where an officer would be allowed to deny registration for any reason , meaning automatic forfeiture of your weapons due to the only registered guns are legal guns policy that certain people embrace like the holy scripture and then there 's the fact that registration leads to confiscation we 've seen it happen as recently as 12 years ago , we know it 's the outright truth not long after the new york spree killing , the newspaper covering the proposal of gun licenses needing to be renewed every five years explicitly stated that if the registration lapsed the guns would be confiscated",in that case it would be not registering your guns which would lead to confiscation rather than registering your guns the logic of your argument seems questionable it would be like arguing it 's the outright truth that property taxes lead to confiscation because if you do n't pay them the government can take your property would anybody seriously think that that is a good argument against property taxes \?,gun control,0,1,0,0
92@3,"if they do not want that opportunity , it is not wonderful for her","a healthy baby being born is always a wonderful thing , as long as mother is safe too",abortion,1,0,0,0
92@5,"if evolution was indeed a fact , it would not crumble so easily by a simple falsification","actually , since darwin first proposed his theories , the have not been falsified your assumptions and unsupported claims certainly do n't do so",evolution,0,1,0,0
93@1,"let 's not go into what bigotry means , i think we all get your point anyway","i know , chloe 's misuse of the word strikes again",abortion,1,1,1,1
93@3,we must agree that both of these examples are mere therory science can not observe actual evoultion of life nor can we see creation as it is describe in genisis,"no we do n't agree for one thing your faith is n't a theory creation as described in genesis is a myth , in fact , two myths furthermore , a scientific theory does n't mean wild guess with no foundation that seems to be what you want the word to mean in science a theory is an explanation for observed facts that has been tested you see , a theory is predictive i 'll give you some examples of scientific theories the germ theory of disease , the theory of gravitation , the heliocentric theory , tectonic theory , atomic theory moreover , you are wrong that science cannot observe actual evolution of life it is done all the time while it may be debatable that a virus is alive , the recent case of sars making the jump from civets to humans after a mutation is evolution",evolution,0,1,0,0
94@0,i would suggest that you re read the suggested texts let me restate 1 \) all organisms produce so many offspring that their numbers would increase exponentially without constraint yet adult populations remain reletively constant,"and that 's an observation , is n't it \? not an assumption calling it an assumption was the mistake darwin devotes a whole chapter to this",evolution,1,1,0,1
94@3,would you have supported the freedom for hitler and his cronies to own guns in 1932 \? mao in 1947 48 \? because those freedoms directly led to the abrogation of the ultimate right the right to life for at least 30 million people,"oh really \? gun ownership allowed these lunatics as you call them , to become government dictators \? if i owned 50 guns and 10 , 000 rounds of ammunition , you 're saying i could run the government with an iron fist all by myself , just like that \? any random person can just appoint themselves god over the entire nation , without a single ounce of resistance just because they 're armed \?",gun control,1,0,0,0
94@5,"in your very thoughtful contribution you explicitly state that you regard the bible as true and authoritative in all that it affirms including one must suppose the account it gives of the origin of life presumably , you are convinced therefore that god is the first cause whether or not he chose to bring about organic effects by evolutionary means \? if we can include evolutionism among the sciences , then as a science it does not , indeed it cannot , attribute metaphysical causes to physical effects there is no such thing as metaphysical evidence as you are content to describe yourself as a christian evolutionist , you invite the question , how do you account for the origins of life without invoking a final cause for which there is no scientific evidence \?","this brings up an interesting point , and that is that science is extremely limited using your logic , persons should not have believed in the fact that the earth is a round object floating in space before it was proven scientifically , even though it was a fact then , as it is now this fact was written about in scripture long before science proved it , just as the description of the hydrological system was described in scripture long before scientists figured it out this is where the evidence can be found for the validity of the bible when you find scripture after scripture of historical fact and scientific reference that is found to be accurate , you should tend to take is seriously the problem with science is its arrogance it 's inability to see that truth can be found in other areas is a real handicap add to that theories like evolution that disguise themselves as science , and you have a real problem one does not stand on a train track with a train barreling down on them to prove they will die this fact is usually taken to be reliable , even though that person has n't proven it to be true through experimentation if you need scientific proof for everything you believe , you have a real problem if this were the case , no legal decision on guilt or innocence could be rendered in a court room , since the decision is usually rendered based on the preponderance of the evidence related to a crime that was commited in the past we have the same problem with the origin of life and evolution of species macro changes that supposedly occured in the past as such , every availble form of investigation should be followed up on this includes metaphysical possibilities they can be investigated just as evolution is , buy the study of history , manuscripts , archeological methods and statistical and prophetic evidences both scientists and creationists are talking about investigation to find truth , and to self limit your investigative techniques is not only reckless , but might be a form of self delusion requiring truth to conform to your standards , as scientists of the past did , can either cause great delay in finding truth , or cause you to miss it entirely",evolution,1,0,0,0
95@0,just when you are ready to come get my guns remember !,and you 're accusing him of not debating properly \? that 's the best you can do \?,gun control,0,1,0,0
95@1,are the commuters who deface or tear down the anti abortion ads exercising their right to free speech and expression \?,"nope , it just shows people are getting sick of having the anti abortion movement invading their public life back in 2001 , a pro life group went as far to pay a pilot to tug a banner that held the picture of an abortion fetus while he flew over southern california beaches http www freerepublic com focus f news 701445 posts ever since 2001 , the pro life movement has adopted some odd and extremely unpopular methods of protest",abortion,1,1,0,1
95@4,"here we have a case of an event where we definitely need some objective reporting i suspect this was simply intended to be a private screening of a film private screening are extremely common in the film world the whole idea of a private screening is that well , it 's private meaning , only some people are allowed to the screening if they were rejecting people at the door , it was obviously a private screening , so one has to wonder why these guys were trying to get in to begin with if they were n't invited this does n't sound like a case of anyone trying to bring science in to challenge something , but rather someone trying to crash a private screening of a film so essentially , someone who 's eager to play the hypocrisy card blogs about trying to sneak into a private screening of a film , but getting kicked out while his celebrity companion managed to get in big whoopin' deal since there does n't seem to actually be any objective reporting done on this event , here 's a different blog entry of the event that presents it in a different \( and probably more realistic \) light did richard dawkins just crash the party at a screening of expelled \? some of the comments in the comments section there also shed light on the incident","since i was there , i 'll give you an objective rundown 1 \) dawkins did n't crash anything he watched the movie without saying a word and participated in a q amp a session with the producer at the end a session that the producer deliberately started 2 \) there was no sneaking on any level pz , his daughter , and i all registered our names over the internet for the event and selected the option to have up to three guests come with us we registered our real names , our real addresses , our real telephone numbers , and our real emails , and we all received confirmation emails approving our registration 3 \) what possible reason did they have to deny pz a viewing of the film \? dawkins and i pressed the producer mathis on this issue , and he said it was about money he wanted pz to come back in a month and pay his 10 but this makes no sense pz was paid 1 , 200 for his interview they thanked him for the interview in the credits if money was a concern , they could have paid him 1 , 190 and given him a free reservation just the fact that he was in the film should have been enough to warrant a seat at a pre screening event this all begs the question what in god 's name are they so bloody afraid of \?",evolution,1,1,0,1
95@5,you just do n't get it americans are freemen your faith in governments over people is humorous how does it fell to lick the bootheels of your government overlords rights are inalienable to man one man has no right to intefere with another man i should be able to do as i please as long as i do not intefere with others how does your government feel about that \?,you draw very interesting conclusions my friend if this is your standpoint then what is the purpose of a government \?,gun control,0,1,0,0
95@6,life has never been made in the laboratory,"that 's not evolution life has evolved in the lab , many times",evolution,1,1,0,1
96@0,"that 's real diversity disagreeing but not being disagreeable since amaechi came out , i 've read lots of columns about being progressive the implication or outright assertion is that anyone who believes homosexuality is wrong is not progressive or enlightened",and this would be true if he is allowed to have the belief that it is wrong or a sin then others are also free to have the belief that he is an progressive or enlightened,gay marriage,0,1,0,0
96@3,i doubt it a story on the news today those who have firearms in their homes are more likely to die of murder and are more likely to die from suicide interesting,"sucide \? is n't that a mental health issue \? if you take a gun from a sucidal and depressed person , does that cure depression \? if it does that you have addressed the root cause of sucide if it does not than you really have not done anything to cure the fundamental cause of sucide",gun control,0,0,0,1
96@5,interesting coming from someone who just argued his god is a liar of epic proportions,"really \? i have argued that god is an epic liar \? can you point out me arguing that at all you epic liar \? once again you are interpreting what i have said through that sick and unbalanced mind of yours , and then extrapolating that i am now arguing in favor of calling my god an epic liar is it absolutely impossible for you to debate issues while actually responding to what we really say rather than reading into what we say and redefining it to fit your warped and perverse perspective \? i mean , how sick and disturbed must your powers of reason and logic be for you to interpret my argument that man , because of our linear view of time , is misreading the fact that god placed the stars in space at the same time much more recently than it appears to us to have occurred , that god is then an epic liar \? is god responsible for how we interpret the evidence when we attempt to do it apart from placing him first and foremost into the equation \? is he the liar \? or are you who think like that deceiving yourselves by ignoring his place in the creation of time and space \? it is just completely beyond you to think from an honest and objective perspective , is n't it obvious child ! but for a more practical answer , imagine this in the beginning , space was a void which spanned all of eternity only one object energy source encompassed all of it from one end of its massive emptiness to the other , and that person was my god yahweh and in one second or minutes time , he spoke all of the stars that have ever existed , at different intensities and strengths , which causes them to burn out at different times but he placed them at the very inner and outer limits of time and space at that time liken it to a farmer with a hand full of seeds he pulls back his arm and throws those seeds to the end of the plot of land he is sowing at that time to the ants on the ground , if they measured the time it would take to reach the farthest seed , it would represent a great distance , but to the farmer it was just one arms throw in time to disperse hundreds of seeds at one time now here we are as finite creatures who can only see time from our linear perspective time is plastic our linear measure is man made for our convenience only that you place what we call the measure of so called light years is arbitrary at best but i am getting too deep for you and this discussion the point is that our god has the ability to place the stars in every corner of not only what we again , arbitrarily call our universe , but throughout all of time and space but to we puny finite humans who have invented telescopes , it appears that these stars we are seeing today are ancient based on the perceived yet arbitrarily arrived at distance you believe they are from us but since you are unable to even grasp the hugeness of our god , you also fail to appreciate that light years are a measure of distance rather than time so by that definition alone , it is foolish to equate it with earth time rather than gods ability to reach any distant place in time and space and place stars there",evolution,1,0,0,0
96@6,but governor palin does n't think so http www dailykos com story 2008 1 97 640 631928,"that ad is a flat out distortion of palin 's view her view is that the state governments should decide how to regulate abortions the consequence of that view is that the state governments would be free to allow abortion , or prohibit abortion , on whatever basis and to whatever degree they wanted",abortion,1,0,0,0
97@0,"in the same sense that shooting an intruder when he 's charging at you is the same , in principle , as shooting a fleeing intruder when the baby is born , there are a myriad of choices open that would relieve the mother of the responsibility of motherhood while allowing it to live there are no other choices open to her to relieve her of the fetus inside of her","a facinating way of framing it i should say i could simply reply that pregnancy is preventable , that it is not a permanent condition and if one is patient it will end with the child 's birth i could also point out that the fetus is not responsible for the pregnancy in that it did not decide on it 's own to come into existence and plant itself in the mother 's womb but rather it was the mother and father that made the child through their actions so why is it made to pay the ultimate price \?",abortion,1,1,0,1
97@1,"but the problem is that neo darwinists claim that dna is in complete isolation and goes on its merry way , regardless of any pressures and effects of the environment","misunderstanding or misrepresentation \? biologists and geneticists do not claim that dna is isolated from the environment we are well aware that the environment can cause mutations under many conditions \( cosmic radiation , x ray , etc \) what is denied is that mutations are environmentally directed in other words , exposure to cosmic radiation will not cause a mutation that will make the organism resistant to cosmic radiation the mutations will be random on the other hand , natural selection is , by definition , the response of populations to their environment the environment has been shown to have effects on dna , i e , the genome of the population",evolution,0,1,0,0
97@4,"do we want america to be known as an abortion nation \? america should ban abortion , that way we can set a good example for other countries so that they may follow our good example if people die because of black market abortions than , even though i am a catholic , i say that they deserve it after what they did to a poor child","so you would rather that a grown woman , a mother even , died in pain rather than an 8 week old foetus which cannot feel pain \?",abortion,0,1,0,0
98@1,"i am suggesting that \( assuming a god exists \) the nature of god is unknowable in the realm in which we exist unlike a square or a rock or a chair or a tree which are of this physical realm , and for which we can make a definition and then test the object to determine if it fits the definition , we cannot do this with god , simply because there is no way to 'test' god within the physical realm in which we exist",so you would go with the unknowable argument \? well then this is applicable to your response so now you have said that god is undefinable or often said supernatural t i believe in god a what is god \? t i dont know then my question to you would be that if you dont know what god is then what is it that you believe in \?,existence of God,0,0,0,1
98@2,"there 's no question that evangelical atheists do exist convinced not only of their beliefs but that it would be better for more people to share them i'm not sure they 're wrong , and i'm happy for them to make their case but not in a science classroom","and if they do \? is that as big a crime as an id advocate making his case in a science classroom \? the fact is , the influence of evangelical atheists cant be kept out of the science classroom , because no consensus exists on just where the fact philosophical line is drawn if a teacher or a textbook cross the line in the slightest way , time consuming distracting religious non religious discussions can follow",evolution,1,0,0,0
99@1,"i did n't miss the part where the doctor stated that the woman 's health could be in danger i also did n't miss the part where they would have to wait until the children were developed into late stages before deciding which ones to kill in this case , the parents went to such extremes so as to become pregnant that they expose themselves as callously toying with lives to accomodate their own plans , then whining pre emptively lest someone challenge their attempt at godhood conservatives do not want to select who dies for convenience sake only liberals would actually protest and make demands for the so called right to kill their babies","so you would have the mother , all four fetus 's die instead well , just so long as your conscience is clear",abortion,0,1,0,0
99@2,"you could put it in the form of a resolution , in the debate challanges forum","so you refuse to engage in an informal debate on the topic , but you all of a sudden are itchin' for a formal debate \? how about you make the challenge \?",evolution,0,1,0,0
99@3,"we did n't discover it , we invented it the greeks firstly iirc guess what , they were n't christians","your statment is like saying we evented 2 2 4 we did not envent it , it aways existed same with logic , its a concept that exists apart from the meterial universe but in the atheists worldview , only the meterial universe exists",existence of God,0,1,0,0
99@4,false alarm general misunderstanding is still calling the shots ! there 's no such thing as 'natural and undirected' drop a rock and tell me how 'undirected' the results are for you,tell me who directed it,evolution,1,0,0,0
100@2,"why is it ok for your side to determine what is right for society but when i offer my vote opinion , i am imposing something evil on you \?",let me explain this to you you want to stop abortions for someone else you want to take a womans right to choose away where as jito supporting a womans right to choose does not impose upon your life in any way you want to stop me from being able to marry this does not effect your life in any way yet has a devastationg effect on my life the left supports rights while your side want to limit the rights of others you want to stop me from being able to marry because you have a religious belief against it even though i may have a religious belief that supports it therefore you are imposing your religious and moral views on me when i do not share those beliefs,gay marriage,0,1,0,0
100@3,science could clear that question up with a little carbon 14 test to rule out recent exsitence,this why we think you 're a liar http www talkorigins org faqs dino teocalcin html,evolution,0,1,0,0
100@5,"while the eye is a well enough example , it puzzles me that in an age in which genomes are being sequenced , we should rely so heavily on the eye in this way anyone looking at the human genome , or any other for that matter , will be most hard pressed to argue that this is an intelligently designed structure it is replete with repetitve junk , nonsensical extraneous dna , non coding segments that have no relation to other genes on their shared chromosome , genetic parasites , and so on and so forth and adrift in this sea of rubbish , are scattered a few clusters of sense , coding for amino acids and regulating the process i think paley , had he seen the genome , would have been berfet with grief for the death of his argument vindex urvogel","be wary of names 'junk' dna is not rubbish it 's called 'junk' because we do n't know entirely what it is used for but just look at all the blank spaces on this post they are nothing , but they are keeping the words in order evolutionaries are putting too much faith in names of words such as human embryonic 'gill slits' or 'transitional' fossil",evolution,1,0,0,0
101@0,my moral compass does not care if genesis is literally true or not can anyone explain why it should \?,"well , if genesis was in fact true , then we would have to assume that god is real and the bible more or less explains what he wants , right \? and if there is someone up there who will damn you to eternal torment if you do n't do what he wants \( which is one interpretation of the bible \) than that might effect the way you act i realize that that is n't exactly the same as changing your moral compass , but history has demonstrated that most people 's moral will stretch to accomodate pressing needs , and i think an actual vengeful diety would qualify",evolution,1,1,0,1
101@2,manslaughter involves a direct action that causes an unintentional death miscarriage is involuntary besides the person suffering a miscarriage might well want to keep the baby,"does n't that explain why manslaughter is like miscarriage , rather than why it is different \? and clerisian , you did n't seem to be arguing that the two were distinct , rather you appeared to say that pro lifers did support charging mothers who miscarried with manslaughter \( where the mother 's actions , say , drinking heavily , were the cause of death \)",abortion,0,1,0,0
101@3,may there never be a 34th !,agreed !,abortion,0,0,1,1
101@5,and the reason they say that one of them is that ns on the level of the population is random which makes absolutely no sense what so ever with a constantly changing environment it is so obvious to me that different groups of animals would do better in different environments this is where competition really happens,he only understands natural selection when he belives that it goes against what is accepted by scientists,evolution,0,1,0,0
101@6,i concur michigan adopted a shall issue system three years ago and the wild west still has n't gotten here what the hell is it waiting for \?,the muslim invasion you guys need targets right \?,gun control,0,0,0,1
102@1,"to sum it all up , the big bang theory states that 'nothing exploded and here we are ! '",and that 's your idea of disproff \? pitiful,evolution,0,1,0,0
102@2,"personally , i have seen enough human nature , and have too low an opinion of the human race as a whole to really mourn when i hear that one or more human beings has left this mortal coil kids are the exception \( including the unborn ones \) i think it really says something about us as a people that some of us actually make the decision to kill babies pretty sick","what a condescending attitude you have in case you have n't noticed , you are a very small part of the human race that you smuggly hold in contempt \( thankfully small ! \) your mission should be to improve it , not to stand back and claim you are better than everybody else , as you seem to do killing innocent people of any age is wrong children are no exception , they are just the epitomy of innocence the pretty sick applies to your own deluded thoughts rest assured , i will not mourn your death or the deaths of any of those you may have taught your insane values you are !",abortion,1,1,0,1
102@3,"i was n't thinking the term 'micro evolution' but that does work my point was that the idea of evolution is a gradual change over a long period of time \( i 've never head the term macro evolution \( nor micro evolution honestly \) but i assume that 's what it is until you suggest different \) i guess the change in beak size is more noticeable than gradual my point for asking the question was from the selection that you quoted i point out what stuck out to me what i saw was that if the finch are evolving a smaller beak because of the larger billed recent immigration , than that is a fast change for when the idea of evolution is gradual change over a long period of time , unless i misinterpreted it but then again , i think it 's possible that micro evolution does happen in some birds such as finches","it is 'change over time' , not 'gradual change over time' the morphological changes tend to happen with a change in the environment the difference between 'micro' evolution and 'macro' evolution is the number of steps macro evolution is a bunch of 'micro' evoltultions that add up you have two populations that you can compare that used to interbreed , and for some reason , do not , and then you add on a few 1000 'mircro evolution' events to each , they become very very different",evolution,1,1,0,1
102@4,can you imagine what the u s population would be without abortion \? who will take care of all these children when the potential parent cannot \?,"the idea of abortion as population control is absurd , especially forced abortions as someone mentioned a few posts ago anyone who has read a biology book knows the world has methods of population control on its own , we do n't need to be doing stuff like that ourselves",abortion,1,0,0,0
102@5,he is clueless clueless the misuse of batf firearms tracing data,well i guess nato basically summed it up stupid is as stupid doe 's,gun control,0,0,1,1
103@1,"dna is just a representative of what we are , where we live , what our social environment is , what our ecological environment is , etc",bwaaaaaaahahahahahahahah ! quote so you are saying that my dna reflects the fact that i live in texas \?,evolution,0,1,0,0
103@2,"the reason we make maps of the universe on the scale of billions of light years is that the scientific method has led us to that tentative but evidentially robust conclusion i mean , look at this a section of the sky the width of a dime 75 feet away , crammed with galaxies and there 's nothing special about that dime 's worth of sky , either","crammed with them , sure , why not \? its easy , only a few million light years the scientific method is used in weather forecasting too",evolution,1,0,0,0
103@3,"um have you read leveticus \? and i mean , read it not skimmed it because , god loves everybody are you reaching \?","semantics god has mandated against homosexuality my point is , people are prepared to admit that the creation story , and the story of noahs arc are metaphors they read them , and then look at the evidence to hand and say well , it ca n't be really true the way it is written , so it must mean this but the bias of the church against homosexuality is based of a small passage of text which , it seems , cannot be interpreted away that part that condemns homosexuality is accurate , straight from gods mouth truth again , why the dichotomy \? why are some parts of the bible open to interpretation , but others are rigid \?",evolution,1,0,0,0
103@5,"well , there is no way i 'd ever need an abortion , except for rape i decided at 10 to live a life of celibacy because so much human suffering is related to desires of the flesh",well that explains your anger i hope you are blessed with homeliness makes your commitment easier to keep how old are you now \?,abortion,1,1,0,1
103@6,"modern society does not fit well with the society of 2000 years ago , with their beleifs eroding away those who see themselves primarily as 'american christians' may find this involentary loss of beleif as worrying and threatening to the older , more familiar ways this might manifest as a general feeling of fear and being threatened , hence the percieved need for weapons","so , are you saying that all anti gunners are fearless \? \? \? if so , , i must laugh",gun control,1,0,0,0
104@0,"i laughed so hard when i read that kronus unfortunately , its funny because its true","oh boy , you said it ! is the earth 's magnetic field young \?",evolution,0,1,1,0
