qrID,quoteText,responseText,topic,disagree_agree
121@4,"whacky , but , that 's my point if the universe were plunked into existance yesterday , just as it is today , it would still be a day old measuring how far away something is does not necessarily tell it 's age measuring distance in light years only tells you how long it would take to get from point a to point b see what i mean \? sandy","sandy do you understand that if a star is one light year away , then we see the light from that star that left the star one year ago \? so the star must be at least one year old",evolution,0
121@5,"problem with your logic is thus step two is not based on step one it is a second premise the fact that a being is all powerful precludes step two therefore , contradictory premises therefore , fallacy of the inconsitency","technically , all syllogisms need two premises , first of all step two and step three were a dilemma , not separate steps learn to read dilemma you only read scenario 1 , which was step two god can create a rock he cannot lift step three god cannot lift the rock conclusion god is not all powerful scenario two was god cannot create such a rock therefore , there is something god cannot do therefore , god is not all powerful the only case in which god could truly be all powerful is if he can somehow both create an unbreakable rock and then break it , which defies the law of non contradiction and is thus absurd thus , the notion of all powerfulness , which leads to such a notion , is also absurd",existence of God,0
121@6,"as for the wings , a pair of fully developed wings on a dinosaur would not be an asset for anything at all",gliding flying \?,evolution,0
122@0,"if they are produced from human minds , and human minds are mutually contradictory , then how can the constructs be absolute \? therefore , the laws of logic are not human constructs","this contradicts the fact that logic is an invention born of brain power if there were no living beings , there would be no logic there would be plenty to think about but nobody to do any thinking requiring what we know today as logic logic is totally a human construct and since it has nothing at all to do with the existence of god , atheists are just as good at it as the bible thumpers as a matter of fact , i know an atheist who is far more logical than anyone else i 've heard to date",existence of God,0
122@1,god is good all the time,then why does n't he answer prayers like he says he will in the bible \?,evolution,0
122@2,"but there 's no evidence here for creation all you can do is argue \( extremely poorly \) against an old earth three strikes and your out , kid hit the showers","actually electro , do you remember this thread \? evidence for a flood \? oddly enough it took 20 pages before one of them even tried to argue against the reasons why the flood did not occur",evolution,1
123@1,"once you smoke too much \( which is not much \) ,",oh \? and what is the specific amount of pot you have to smoke before you become a drug crazed fiend \?,marijuana legalization,0
123@3,no not in matters of science,"not in matters of atheism tell me , when science discovers something that seems to agree with the 150 year old writings of darwin , are the writings of darwin disregarded \? or is that type of history trumpeted to the masses \?",evolution,0
123@4,evolutionists cannot support thier theory and expect you to find proof to support yours,i thought you said that you had been following the converstaion i guess you did n't understand any of it,evolution,0
123@6,"i have characterized certain ideas , notions , and opinions as stupid and simple minded , but not you personally","oh , ww , come on now if you say something to me about how vitality works , and i say 'that 's a stupid simple minded idea' , are you seriously telling me you would n't take that as a personal attack \?",evolution,0
124@0,"today , no informed creationist would deny natural selection","then 99 of creationists are not informed as far as i can tell it seems that your position is that informed creationists are neo darwinists , fully accepting of the theories of evolution",evolution,0
124@1,"regarding the line to be drawn between valid and invalid medical circumstances , i suspect it is best left to the physician 's who encounter and are familiar with the various causes for concern i personally know quite little about them the ones i would categorize as valid would be those that threaten the continued healthy life of the mother in such a way as to include the possibility of her being unable to function as a mother and caretaker of not only the expected child but those she may already be tending reduced to a short sentence , the line should be drawn under the doctor 's signature","you have a good point about the imporance of the mother being healthy enough to take care of the other children so often , this debate is phrased in terms of the mother 's rights vs those of the fetus , but we often forget \( including myself \) that other people can also be deeply affected by abortion decisions including the family which might lose a mother i would also generally agree that the doctor can often best say what type of health risk exists even there , though , the doctor him herself would have to have some level of judgement about what level of risk is acceptable and what is n't ultimately , someone has to make that decision part of the goal of this thread was to discuss what type of risks are acceptable and what are n't",abortion,1
124@3,how do you know you were born heterosexual \? what suggests that you were born with a particular sexual orientation \?,"because , not once , did i have feel any sort of physical attraction to the same gender as myself i have known other people who have i do n't 'choose' who i think is sexually attractive it might have been environmental , but it certainly was n't a 'choice' i have to assume that at least for some , if not most homosexuals , that pattern repeats itself",gay marriage,0
124@4,"i 've filled marc in on this before , but as usual he 's ignoring the information that he does n't like",atheists tend to ignore information they do n't like also,evolution,1
124@5,"i 've seen that argued throughout these posts , but i do n't think i 've seen the argument from start to finish as such , i have not been absolutely convinced of this do you mind helping me out a little by drawing this argument out in a little more detail \?","sure the woman is a person , and individual , sentient human being she has the same right to control her bodily resources as any other person does as such , you can no more force her , against her will , to provide bodily resources to an embryo or fetus , than you can yourself be forced to give of your bodily resources against your will even if somebody is bleeding to death , and your blood can save their life , they still do n't have the right to force you to safely give them of your blood each person have that right to control their bodily resources if you want to force the woman to remain pregnant , you are forcing her to give of her bodily resources against her will when you do n't insist that everybody else be subject to such requirements , then the argument is hypocritical and misogynistic and , of course the us supreme court agrees with this , thus ruling that per the 14th amendment of the us constitution , the woman has the right to privacy , to control her onw body",abortion,1
124@6,"the prediction was made based on the mindset that everything evolved from a common ancestor over billions of years furthermore , it was based upon the fossil record , which is supposedly shows how everything evolved","no , it was based upon the fact we had n't seen one , yet there were fossils of them then when we did see the descendants of the fossils and it got changed , that 's how science works , when better data is found , the theories are changed",evolution,0
125@0,"another question might be , have evolutionists figured out the mock gene yet \? mockery was a great ingredient in christian salvation judas mocked jesus in the garden , the chief priests and scribes laughed him to scorn , herod mocked him , the servants and the soldiers jeered at him and insulted him , and on the cross all sorts of taunts were thrown at him i do n't claim to be perfect mockery could possibly be an effective tool in certain instances , but i may be wrong about that is mockery synonymous with evil \? the opposite of love \? do atheists do it more than christians \?","why you quoted me is questionable what i posted was merely a series of mathematical equations proving that hovind is completely full of how you consider mathematical equations mockery i do n't know , but more likely , you did not bother to watch the video instead , in your normal fashion , you simply assumed what you wanted to believe and then went from there rather then actually looking at what it was and what it had to say your post more accurately is towards the link that aa posted in defense of his beliefs \( yet failed to realize was satirizing those beliefs \) furthermore , i'm not an atheist even though your poor definition wants me to be",evolution,0
125@1,evolution predicts that dna changes not assumes but predicts,"actually , you are living in the past that dna changes is neither an assumption nor a prediction it is an observation",evolution,0
125@2,"so you are saying that because the gun is of value you should just let the burgular take everything else of value , rape your wife and possibly kill you all because you might get shot \? xxxx you are now quoting that burgulars will invade homes more because there are guns in there \? again this is this frauds own personal research to meet his agenda please show me his raw data otherwise it is xxxx your quote starts out with fact \( the 74 \) then goes off into fantasy land of the quotes of one or two criminals who support your global socialist agenda and then he does his own study xxxx ! goa and other pro freedom groups footnote and annotate thier sources for your review not some oh we looked at the fbi statistics and from our own research we have found that pistol gripped assault rifles can go on a kill crazy rampage whether or not a human is actually holding the thing xxxx ! the latest is the batfe is xxxxxx at the brady foundation for misrepresenting their data hmm c r a p !","well , if burglars want to steal guns then it makes sense that they would be likely to target the homes of gun owners and the source is from the recently published book evaluating gun policy which you can read and review the source is listed at the bottom",gun control,0
125@3,no foundation for paul allegedly being unaware of these things,"really \? let 's consider the matter of jesus' claimed virgin birth , a claim brought forth by matthew long after paul 's time here 's paul on the subject rom 1 3 concerning his son jesus christ our lord , which was made of the seed of david according to the flesh which suggests that paul considered jesus' conception to be fairly routine ez , evidence contained within the nt points to a gradual evolution of christology over a considerable period of time",existence of God,0
125@6,"that 's really all i have to offer to this debate , hopefully somebody will help verify strengthen my points , seeing as i'm hardly the expert","that 's the thing , though even a self professed non expert can perfectly well refute the ridiculous points supersport continually spouts supersport , on the other hand , does n't know any better",evolution,1
126@0,"you said that the colour changes are caused by a single gene this further goes to imply that a mutation could disable the primary gene and activate the recessive gene this is of course imho what you classify as evolution , i call variation within a kind you arent working off the big picture idea","and you do n't have any picture you have no idea of what recessive really means , do you actually , since the first observation of a black peppered moth in 1848 , several other mutations have caused other variations of color in peppered moths they are intermediate between the typica and the carbonaria , but they are extremely rare these alleles form a hierarchy of dominence in which the carbonaria is the full dominant , and the typica is fully recessive please define kind please define variation please explain the origin of this variation in kind",evolution,0
126@2,"yet there was a case that i read about somewhere , where a sticker was placed in science textbooks advising children to study evolution with an open mind , and an aclu lawsuit ensued","indeed cobb county georgia and the sticker was found unconstitutional in federal court the problem was that it was religiously motivated , was placed only in biology texts , did n't say anything true that the teachers were n't already teaching , and actually was not accurate the sticker was found to be unconstitutional because it violated the second prong of the lemon test i suspect that you do n't know what that is anyway , the 11th circuit reversed",evolution,1
126@4,"actually , the mormon seminaries are n't on the grounds , although they may be on an adjacent , privately owned piece of property it would be unconstitutional for the seminaries to be on property owned by the school district the children go to the seminary on released time , which has been found to be constitutional \( although i do n't see how \) pertinent decisions about religious instruction and schools are mccollum v board of education \( 333 u s 203 \) zorach v clauson \( 343 u s 306 \) mccollum found that religious instruction on school property is unconstitutional , while zorach found that accommodating religious instruction by releasing students from school for that purpose was not",yep thats true there in separate buildings but right next to each other i see it being about as attractive as a crack house next to a school with a revolving door in front,evolution,1
126@6,i wish to wave the flag for the middle ground i do not believe that the bible is 100 accurate historically i do believe that many events \( including the flood \) happened in some form or other and many of these are long ago racial memories which may well have been enhanced distorted spun over the course of millenia,me too,evolution,1
127@0,"no guns , no shootings ! ! does it get any simpler \?",actually your posts are providing increasing evidence for just how simple folks can get,gun control,0
127@1,a piece of genetic material taken from your own body and inserted into a sterile egg to create a batch of undifferentiated cells to reinsert into your body to save your life \?,well if it saves my life what is the problem \? \? are n't we pro life here \? \? \? \? \?,abortion,0
127@3,here 's a cartoon http images yuku com image pjpeg 3 214ee23f7 pjpg,so you 're saying that it 's better to just let the criminals stay armed and the good people should remain unarmed \? that 's advocating to allow the wolf to kill as many sheep as it wants in hopes that it 'll stop on its own and leave the rest alone,gun control,0
127@4,this is a racist statement also unsurprising from the anti choice anti life crowd and their constellation of views,"there is nothing racist about the truth notice the underlying message in your posted article is about the court of appeals throwing her lawsuit out that was the underlying agenda which motivated this racist jerk who also happens to be black it is common of these people today to refuse to obey the law , then blame the cops for not allowing them to act like they do remember that it was she who was speeding in a school zone , then to refuse to give up her keys made her a public safety threat she deserved what she got even though the thought of a pregnant woman being tasered is scary to me , she could have avoided it by cooperating with the police i'm not pregnant and i would cooperate to avoid it this is why i think she had other motives which makes her the lowest of the low since she was carrying another life within her",abortion,0
127@6,do pro abortion people support euthanasia as a reason for abortion \? meaning for instance if after amniocentesis it is discovered that the child has down syndrome or if it is discovered the child will be born with no legs the previously hoping and willing parents decide to abort for this reason do pro abortion people support this \?,"i think you need to look up euthanasia , and not only for the correct grammar those examples are not euthanasia abortion is not the same thing as euthanasia why do n't you just say what is on your mind , rather than setting these ham handed traps you hope someone will fall into \? it is clear what your opinion is if you have something to say , by all means express yourself",abortion,0
128@2,i'm new to this idea that science has over ruled creation please explain,"the 7 day creation i am referring to , not merely the possibility of divine creation through the big bang etc",evolution,1
128@3,"because it is illegal to own a handgun without a difficult to get permit in new york ,","so according to you , you 'd prefer it if only the bad guys are armed , because that makes it easy to tell who 's the bad guy and who 's the good guy being the good guy is never armed , and thus never able to defend themselves",gun control,0
128@4,"yes , that is the point !",and you have yet to prove with statistical evidence that gun shows cause problems you only have theory and a few isolated incidents,gun control,0
129@1,there is n't the controversy is over whether it 's man made or not,"and if we can actually doing anything about it from what i hear on the fringes , the debate should not be about how to change or stop it , but how to change to deal with it and what we should expect as society adapts to a change in climate",climate change,1
129@3,you stated the illiad has historical figures many writings do what distingustes the two is that one is fact and the other fiction noone claimes that homer was conducting a documentary of this time and these people,i see so the bible is true because you claim it is true,evolution,0
129@4,"we are talking about constitutional rights in that case , even if you want to put religion into the mix you really ca n't","but behind that are deeper , more fundamental issues about what homosexuality is and the morality of it to many people who view homoseuxality as immoral , your movement seems to be trying to write immorality into law",gay marriage,0
129@5,"alexander hamilton 1775 the sacred rights of mankind are not to be rummaged for among old parchment , or musty records they are written with a sun beam in whole volume of human nature , by the hand of the divinity itself , and can never be erased or obscured by mortal power the fact that the constitution did not include a bill of rights to specifically protect americans' hard won rights sparked the most heated debates during the ratification process to the federalists , those who favored the constitution , a bill of rights was unnecessary because the federal government was limited in its powers and could not interfere with the rights of the people or the states also , most states had bills of rights to the anti federalists , those who opposed the constitution , the prospect of establishing a strong central government without an explicit list of rights guaranteed to the people was unthinkable throughout the ratification process , individuals and state ratification conventions called for the adoption of a bill of rights",ninth amendment unenumerated rights,gun control,1
129@6,"if only she 'd been allowed to have a gun she could have what \? shot or threatened to shoot someone \? boys and girls as young as 10 , the story says they threw rocks and eggs at her house they do n't kill you for that in england , texas maybe","actually in high school i had a friend who used to be in placement he was sixteen years old an he said he got the s beat out of him by an eight year old boy street kids get their xxx beat every day , pain is nothing new to them it seems they 're immune to it it does n't matter how hard you can hit , if you ca n't take a punch , then you ca n't call yourself street worthy",gun control,0
130@1,carey 's opinion is worth no more or less than anyone elses,yes what would a former archbishop of canterbury know about christianity \?,evolution,0
130@4,because you 're right and they 're wrong \?,"what is your point \? should we revert to old laws that allow for slavery \? over the history of mankind we have struggled to understand god god has revealled part of himself to us , but it is difficult for the limited mind to know the unlimited mind the us had laws enabling this \? does this mean you were n't a democracy then \? when you were a child , and had total awe of your parents , and believed what they told you , were you less of a person then \? surely you understand that what your parents taught you then , was a part of you growining and becoming an adult god for instance calls himself 'father' this is n't because he has 'male sex organs' but because it is the best way for us to understand his relationship to us likewise , the jews made laws in order to best live according to god 's will they did make mistakes , and got bogged down in the law jesus came \( as promised by god \) and liberated us from the entrapment we had set for ourselves surely you do n't advocate that we should return to a strict observence of mosaic laws \?",abortion,0
130@5,sinjin no comment,"good , this is n't the time for either side to be making politically motivated comments , even if the case is over a week old",gun control,1
130@6,that sure was a load of knowledge you revealed there,pregnancy is a health issue only for the woman your glib remark pretending to sympathy is insulting,abortion,0
131@1,"it does n't mean that state has to recoginze your marriage if you move in though you also forgot the last part and the congress may by general laws prescribe the manner in which such acts , records and proceedings shall be proved , and the effect thereof","actually , i think kronos is right in this case at least from the standpoint of most consitutional scholars of course the framers did n't envision the wording to be used in this way for this purpose this is what 's simply called a loophole , in this case anyway it 's why there has been an effort in recent years to close the loophole with a constitutional amendment defining marriage",gay marriage,1
131@2,"i'm sure you 've been high on marijuana before and when you 're high , you 're too ignorant and doped up to know that it 's the marijuana that 's making you act like a xxxxx",and i'm guessing by your misinformed posts that you have not been high before did you recently watch a film called reefer madness by any chance \?,marijuana legalization,0
131@3,"u s senator frank lautenberg \( d nj \) and u s representatives peter t king \( r ny \) have introduced common sense legislation to deny firearms and explosives to terrorists currently , federal authorities cannot stop sales of guns including military style assault weapons by dealers to known or suspected terrorists this gap in the law threatens our nation 's safety a new gao report finds that , from february 2004 to february 2009 , there were 963 cases in which a known or suspected terrorist attempted to buy a gun in 90 percent of those cases a total of 865 times they were cleared to proceed with that purchase one of those cases involved the purchase of explosives congress must pass the terror gap bill to stop known or suspected terrorists from buying guns",so penfold and brady you are in favour of denying citizens rights even though they have not been proved to have commited any crime \? ed kennerdy was on that list so should he be discriminated against even though he has commited no crime \? what is next putting black people on the list purely because of the colour of their skin \? you sicken me you two why on gods earth would terrorists be buying civilian guns when they could just use ak47 \? did you sniff petrol as a youngster as you seem to have,gun control,0
132@0,which is why he was found guilty i do n't think you will find many reasonable people thinking it should be anything different,since when are profetallifers reasonable people \? how reasonable can it be for them to try to impose their particular answer to a metaphysical question on others who believe differently \?,abortion,0
132@1,"i have some questions for everyone here for example , what is each side trying to prove \? are the evolution supporters trying to convince others of evolution , or are they trying to defend evolution \? are the creationists trying to disprove the current theory of evolution , or are they trying to win converts \? also , why do you believe what you do about the universe \? \( the other side is wrong is n't the real reason you to believe what you do , i would think \) here are my answers i am here because i enjoy debates , and i am trying to defend evolution from people who do n't understand it i believe that there is no god because i see no compelling evidence i was brought up without anyone telling me what to believe , though i went to church occasionally i also read the bible , but this failed to convince me finally , i wonder why the bible has convinced some but not others i hope this thread proves informative","that is about the same for me \( although i never went to church \) , and i find it more of an intellectual stimulation , and i can learn a lot too",evolution,1
132@3,"luria delbruck experiment \( 1943 \) \( also called the fluctuation test \) demonstrates that in bacteria , genetic mutations arise in the absence of selection , rather than being a response to selection therefore , darwin 's theory of natural selection acting on random mutations applies to bacteria as well as to higher organisms these experiments also introduced the microbiological method of replica plating max delbruck and salvador luria won the 1969 nobel prize in part for this work in their experiment , luria and delbruck inoculated a small number of bacteria into separate culture tubes after a period of growth , they plated equal volumes of these separate cultures onto phage \( virus \) containing agar if virus resistance in bacteria were caused by a spontaneous activation in bacteria , then each plate should contain the same number of resistant colonies this , however was not what delbruck and luria found instead , the number of resistant colonies on each plate varied drastically luria and delbruck proposed that these results could be explained by the occurrence of a constant rate of random mutations in each generation of bacteria growing in the initial culture tubes delbruck developed a sophisticated mathematical model based on this hypothesis that was entirely consistent with these results the conclusion was that mutations in bacteria , like higher organisms , are random rather than directed",and from here http evolution berkeley edu evosit 1arandom shtml,evolution,1
132@4,"yes , that is the point !",and you have yet to provide stats that prove that gun shows are a threat,gun control,0
132@5,size 2 i do n't have enough faith to be an atheist is a book out by norman l geisler and frank turek customer review the book convincingly shows why atheism and other non christian views require a lot more faith than christianity,"no , it requires pretty much the same amount of faith , as if faith could be quantified",existence of God,0
132@6,"that 's an interesting subject , i had not heard of that b4 did our bodies once produce vitamin c \?","yep but our ancestors lived in an area of abundant fruit , and we got all we needed from our diets , so it was no big thing when the gene broke a few non primate organisms also have it broken , but it 's broken in a different way barbarian observes it 's remarkable then , how much progress we 've made you may or may not approve of the theory , but it works very well at learning more about biology",evolution,1
133@0,"1 how are we now able to observe evolution , when the evolution of the world supposely took billions of years \? 2 can anyone prove to me without a doubt abiogenesis is the way life began , even though no one was there to observe it \? 3 can anyone explain to me why no other apes , monkeys or chimps have evolved into a new \( i e human \) species \? 4 how do we know without a doubt the world is billions of years old \? please no crackpots serious responders only ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !",1 evolution continues today some organisms evolve relatively quickly it has and is being observed do some research 2 science uses hypothesis to explain observed phenomena it must have happened by itself if there is no creator there are several theories about the specifics i happen to think lightning was involved 3 it is thought humans evolved away from the other apes due to environmental pressures when the isthmus of panama was formed it disrupted ocean currents causing a drying of the region in africa where we are thought to originate that change in climate forced our ancestors from the trees which somehow contributed to our rapid and unprecedented brain development 4 geology and radioactive isotopes,evolution,0
133@1,"what the gay and lesbian alliance does n't want discussed in the state or national debate is the economic cost of this program to the tax payers if passed the increase in costs in virtually every program that affects married couple will be in the multiple billions for just the state , not to mention a national cost if it were legalized every where","i would kind of like to discuss your fascinating use of caps but seriously , your numbers are insane somewhere around 8000 gay couples have gotten married in the past couple of years , how in the world do you imagine that they 've cost the state hundreds of thousands or millions each \? you just made all that up , did n't you \?",gay marriage,0
133@2,the reason abortion at any stage of a pregnancy is unethical is because you cannot justify killing a human life based on its stage of development i am 18 years old i am not allowed to gamble or to buy alcohol until i am 21 this is because studies show that my brain isnt developed enough to way consequences i am not fully developed yet this does not make me less human than those who are older than me this might be alittle out there for some but if you cross the line one day you could be killing babys because they cannot walk yet they arent quite human because humans can walk upright a human is a human no matter what stage of developedment it is in but i can see how just telling someone that it is just a fetus makes it easier on them abortion has its place in the need where the mothers health is endangered its completely understandable but its not understandable when its done out of convenience,"cmitch , you cite certain studies as the reasons for why laws have been passed forbidding underage drinking and gambling do you , by chance , know what those studies are \? furthermore , why would your being legally unable to drink or gamble make you less of a human \? does drinking and gambling make you more human \? i'm having difficulties in following your arguments",abortion,0
133@3,"anyone who finds themselves foolish enough to believe hitler was a christian , for whatever reason you want to believe , needs to look up the word 'propaganda ' a lot of you anti christians are good at spreading it , though","and why would i be anti christianity when i am christian \? oh and by the way to who ever it was who said i dont believe in jesus , or something to that extent , i never said anything to that extent , you just made up what you wanted and got mad about it i believe in the teachings of jesus yes i'm betting your asking me how i know about his teachings if i have never read the bible , my mom is someone who has re read the bible like 6 or 7 times so shes told me all about it , and what its supposed to teach us",existence of God,0
133@4,and how do you know this creature is that old \? alligators supposedly lived with dinosaurs and they are still around,"wrong crocs , more accurately primitive crocs lived with dinosaurs modern crocs did not crocs came about 200 million years ago , alligators much much later",evolution,0
133@5,"5 \) show me one instance of an evolutionist \( any book , any website \) admitting that evolution may not be evolution at all , but simply an individual organisms ability to utilize his genetic diversity and adapt himself to his local environment that selection may not have anything to do with phenotypic change and instead of vertically , evolution first happens horizontally \( a trait of a good scientist is to consider opposing viewpoints and alternatives , not to ignore them \)","apart from the 'horizontally instead of vertically' part which i did n't understand we 're a hundred or so years too late , unfortunately you might as well ask for an example of a book or website on cosmology that 'admits' the sun may just be a big ball of fire pushed by a scarab beetle , and not a nuclear furnace about which the earth orbits there comes a point where continuing to seriously 'consider' a viewpoint becomes a waste of time and resources , because sufficient testing has been done and evidence recovered to discount it we may one day encounter evidence that completely overturns the whole applecart , but so far it has n't happened",evolution,0
133@6,"it was a media circus , and had plenty to do with the establishment clause of the first amendment","so the establishment clause was included to promote atheism , eh \?",evolution,0
134@0,"originally posted by thistownwilleat all i think she 's trying to say is that if it 's not really alive it 's not as bad as killing a baby who can control it 's actions , and can think i'm in a coma , i ca n't think or control my actions kill me","no , that 's not what i mean it 's not like it 's fine to kill anything i'm not going to walk up to someone in a coma and kill them just because they ca n't control their actions and think as good as everyone else it 's just better than walking up to a person walking down the road and stabbing them in the back it 's just if you got pregnant 'cause of rape or something , do n't you think it would be better toget an abortion when the baby ca n't really think , etc i know it 's still bad , but it 's better that 's all i think she 's trying to say , and if not , that 's what i say i mean , if a 12 year old got pregnant 'cause someone raped her , do n't you think she should get an abortion , and the earliest the better \?",abortion,0
134@1,"well let 's put it this way i really like playing baseball so i put in a law that says everyone has to play baseball unless they 're in a position where it will threaten their life since it 's such a wonderful thing no one should have any problem with a law passed , right \?","but i do n't hear you saying things like baseball is always harmful to the player or baseball is something no one should have to go through you see , if pro choicers only used the 'pregnancy is bad if forced argument , they might have a point , but they often do n't add the last part besides , no one ever forces a woman to get pregnant in the first place",abortion,0
134@3,i'm not sure what your point is are you trying to raise the hitler question \? hitler was a christian and claimed that he was doing his christian duty what does any of that have to do with the differential reproductive success of advantageous alleles \? evolutionary theory is not a moral imperitive it is an explanation of what is observed in nature,"actually if you were educated in history you would know that hitler was an evolutionists if you got that simple trivial thing wrong , why should i trust you in things that i do not know \? atheistic evolutionist sir arthur keith acknowledged of hitler the germal fuhrer is an evolutinoist he has consciously sought to make the practice of germany conform to the theory of eolution keith , a , 1947 evolution and ethics , putman , new york , p 230 do n't worry , some of my friends did n't know either if evolution is true , than it should have some reasonable explanation as to why we have morals , but it does n't",evolution,0
134@4,actually i have no problem with civil unions as long as civil unions replace the marriage certificate besides it will backfire on them the first time some one is denied something because they are n't married and have a civil union this will be back in court i aslo would like to see the language to see if there is any penalties for those who do not treat the civil unions as marriages,"excellent point if the government only gave civil unions to everyone \( heteros and gays alike \) and the churches got to do the religious side of it , civil unons would be excellent unfortunately , those opposing gay marriage would never agree to such a thing",gay marriage,1
134@6,and how many people per capita own guns in each of the areas in your table \?,"actually , try comparing murder rates with those of the uk was my point , especially murder by gun you 've got your table of state shootings , and i 've already argued against it",gun control,0
135@2,"i was and am fine actually do n't know about anyone else , but i do n't think you have that much impact on our lives ss who 's more arrogant \? the person searching for truth or the person who claims to know everything \?","oh , it 's obvious that non darwinists have no affect on you guys nothing will ever change your mind because your mind is not made up on the evidence it 's made up on your worldview and your belief in materialism",evolution,0
135@3,those kind of websites are like porn to gun nuts but getting big gun wont compensate for being born with a small one,just as being anti gun wo n't compensate for being born with a small brain,gun control,0
135@4,ah good question but there is a difference in topic the thread you referred to asks why does such an all loving and good god create a world with evil \? but first you must realize it is not myself that claims for god to be good or for the rapists to be evil but rather i am posing the question to those who do claim that god is good and there is evil this thread asks a similar but not quite the same question let me affirm i do not have a beleif in god i do not beleive in good or evil,so what is it that you believe 'we' think is evil \?,existence of God,0
135@6,and some people were saying they are just that close in showing how life could come from non life,"well , it showed how it was physically possible to generate amino acids from inorganic material that 's rather impressive again , irrelevant and unrelated to the scientific theory of evolution , regardless of you trying to create that association your continued attempt at doing so despite having been shown and told multiple times that the two are unrelated , well that only shows one thing , namely that you are dishonest",evolution,0
136@1,"what we see throughout the history of the universe is a continuous cycle of things becoming more complex and things of a different nature being created when you look at humans and apes as being of a different nature , some quantum leap had to have occurred while the physical \( common usage \) human may have evolved from ape , that essense of what makes humans human occurred in a much different manner comparing the dna of humans and apes tells us nothing about the differences of the two that which makes humans human does not reside in the physical self , it is of another nature so the creationist are right in concept at least in short the limited theory of quantum potential simply contends the nature of our existence is to recognize our potential , to prepare for the next quantum leap once that idea is internalized , one can see how limited our current views are","you 've got it backwards , disorder in the universe is increasing , \( see entropy \) an increase in complexity does not mean there is an increase in organized matter , the opposite is true a random pile of building material is more complex then a house which is created from that same pile of building materials , because that material is now organized to make matters worse , organized matter increases entropy because it takes energy to organize it",evolution,0
136@3,piri reis' map merely shows a continuation of the s american coast drawn sideways to save space only really wishful thinking could turn it into proof that antarctica has been joined to s america in human times,"and it 's only wishful thinking that they have n't you are in no better position than i am you do n't know anymore than i do science has admitted that antarctica was much warmer several thousand years ago not only that but the following map shows that the continent was not frozen and if it was not frozen several hundreds years ago and it was not frozen 4 5 , 000 years ago , as it was stated on this next seal link , then it 's pretty safe to say that animals and humans could have both been there in recent history \( within a few thousand years \) i agree this is no proof that it was attached , however , it is proof that the weather temperature was drastically different on antarctica than science has admitted and there 's got to be a reason for this drastic change in temperatures http www world mysteries com sar 1 htm http news nationalgeographic com n ent seals html in an antarctic ghost town , freeze dried whiskers , skin , and bones provide evidence that the south pole was a much warmer place not too long ago , a new study reveals we thought , this is really strange if they are elephant seals , what are they doing here \? hall said the discovery , scientists say , is the first hard evidence for a warming period in the region between 2 , 300 and 1 , 100 years ago an earlier warming period , between 6 , 000 and 4 , 000 years ago , has been recognized by other researchers and is believed to have been widespread , at least throughout the southern hemisphere \( so widespread that there was n't snow on the ground and it was n't frozen over ! \)",evolution,0
137@0,it 's finally changed back hopefully it wo n't continue to go in this back and forth forever fourth change in 8 years http timesofindia indiatimes com n ow 1614628 cms,"thank god i too hope it does n't keep going back and forth while i live across the river in parkville , missouri , i used to live in overland park kansas and went to school there i think they are generally pretty good public schools , it 's just the state school board that keeps effing everything up when they get some christonazis on board",evolution,1
137@5,do you believe that a fetus in a women 's body is just undeveloped tissue or a start in where human life begins \? undeveloped tissue both human life,both it 's where a human life begins but not a life yet,abortion,1
137@6,is the bible our constitution \?,"render unto caesar the things that are caesar 's and to god the things that are god 's and good moral character is one of the things to render unto god so , the answer is there is a higher law than the constitution god rules ! and now the verse of the day a man who remains stiff necked after many rebukes will suddenly be destroyed without remedy proverbs 29 1",gay marriage,1
138@1,nine months of discomfort is nothing compared to life in prison for voluntary manslaughter !,"or , spend three months pregnant and then get an abortion , then you lose only one potential human instead of four \( why menstrual cycles , god , why \? ! \) note to clear up any misconception , i am not promoting , condoning , or admitting to the act of rape this is simply parody of what happens when we use unrealistic standards i'm sure that joe does n't promote the rape of women to prevent the passing of unfertilized ova , but i think that his lack of doing so is inconsistent with his position expounded upon above",abortion,1
138@2,"oh , derrrr !","that should be , duh i knew what you meant a bit of humor is ok but i guess you do n't have anything to say about the implications of this study",evolution,1
138@4,"wrong again if she supported bans on all guns then why would she say i know the sense of helplessness that people feel i know the urge to arm yourself because that 's what i did i was trained in firearms i 'd walk to the hospital when my husband was sick i carried a concealed weapon i made the determination that if somebody was going to try to take me out , i was going to take them with me","because she , like every other political figurehead , thinks it 's alright for her to carry a gun , but not anybody else if she didn't support a ban on all firearms , then why did she say if i could have gotten 51 votes in the senate of the united states for an outright ban , picking up every one of them mr and mrs america , turn them all in i would have done it",gun control,0
