qrID,quoteText,responseText,topic,emotion_fact
333@2,"should we argue that young , black males need special attention \?",i think we should argue that these young individuals need to face the full impact of their crimes and not be treated special or given a plea deal,gun control,0
334@0,i know i just do n't want to be accused of only spitting in one direction carry on,haha i 'll remember this next time i think of accusing you of spitting in one direction,abortion,0
334@1,tastyfish fire is well down the line after brain size has started to increase well i agree with that simply because humans have larger brains than chimps and fire is associated only with humans,homo habilis is the first species to use fire as a tool i think,evolution,1
334@2,"so you deny that this man is a victim \? realize that the gunshot drew attention , and attention is something criminals do n't want maybe without that gunshot , the guy would 've been beaten to death but i suppose you 'd be happier , because at least the old man was n't a gun owner or i suppose you think he should 've let the criminal have the money all that is needed for evil to triumph is for good men to do nothing",in other words youre happier because the old man did something criminal and broke the law admit it,gun control,0
334@4,"here 's my original post again , i challenge you to explain how these alleged stone age sheep herders whom you scoff at and mock described contemporary living creatures which paleontologists today identify as dinosaurs , from skeletal remains \?","repeating superstitious nonsense makes it no less mythological than the first , second and third time you were shown it to be so skeletons , even from the bronze age , let alone your incorrect reference to the stone age , are not fossils",evolution,1
334@5,"yeah , it was 9 zip on the individual right to kba in heller over 35 , 000 watchers no one thought it would not be incorporated part of the transcript with tom and erin","hm , that does not seem to match the reading of steven 's dissent he seems pretty set against incorporation t he right to possess a firearm of one 8217 s choosingis different in kind from the liberty interests we have recognized under the due process clause despite the plethora of substantive due process cases that have been decided in the post lochner century , i have found none that holds , states , or even suggests that the term 8220 liberty 8221 encompasses either the common law right of self defense or a right to keep and bear arms and in short , while the utility of firearms , and handguns in particular , to the defense of hearth and home is certainly relevant to an assessment of petitioners 8217 asserted right , there is no freestanding self defense claim in this case the question we must decide is whether the interest in keeping in the home a firearm of one 8217 s choosing 8212 a handgun , for petitioners 8212 is one that is 8220 comprised within theterm liberty 8221 in the fourteenth amendment the practical impact of various gun control measures may be highly controversial , but this basic insight should not be the idea that deadly weapons pose a distinctive threat to the social order 8212 and that reasonable restrictions on their usage therefore impose an acceptable burden on one 8217 s personal liberty 8212 is as old as the republic as the chief justice observed just the other day , it is a foundational premise of modern government that the state holds a monopoly on legitimate violence",gun control,1
334@6,to abort because of an identified significant malformation is perfectly reasonable to me my wife and i discussed this early in her pregnancy since we we 're told that our chances of a serious genetic abnormality was 1 in 74 long odds on a horse but seemed a real possibility at the time we were in complete agreement to abort in the worst case scenario,"because of course , people with genetic malady 's have no right to their lives anyway right \?",abortion,0
335@6,do n't be too sure of yourself because he 's said a lot more truthful things in his life than you could hope to say,"i 've said more truth on this forum alone than you could ever hope to comprehend of course , overwhelming your comprehension probably is n't hard at all , so perhaps that 's not saying much to say that archie has a better track record with the truth here than do i is pretty much admitting that you have n't been following along , ca n't read , or are delusional as archie is i wo n't rule out a combination",evolution,0
336@0,"what is the proposed progression in macroevolution \? is it something like unicellular life to multi cellular life , random multi cellular conglomerations to an amoeba , to a fish , to a dinosaur , to a mammal , to an ape , and finally to a man \?","this is a good site to look at for such answers tree of life web project by the way , 'and finally to a man' implies both a direction to evolution and an end point both of these are not part of the modern synthesis",evolution,1
336@2,"originally posted by broker i think we should eliminate projectile guns altogether i 'd like to see a switch to high power stun weapons , so no one can be hurt","sorry you feel like that but in a fight to the death there are no rules of decent society i will cheat and use every advantage i can get to stop a felon trying to take my life when the police use a stun gun , his partner is standing right next to him as a backup with a 12 guage shotgun when you sign up for that stun gun , buy then extra optional accessory of a partner with a 12 guage shotgun",gun control,1
337@0,"if the moderators feel that this is not an appropriate post for this forum , then they have to make the call to delete it just to make it a debate , though , i 'll pose this question does anyone else miss the presence of any one of the individuals who was behind the usernames of lurch and ungerdunn \? why or why not \?",this is dangerously like inviting ad hominem especially from those such as myself who do n't miss him at all and he is not here to defend himself,evolution,0
337@2,the way i see it if government can regulate free speech to protect people againt things like obscenity and libel,actually they ca n't the government does n't have the authority to tell people they ca n't curse in public,gun control,1
337@3,the problem with this is that the public school systems do not want to acknowledge that there even is a god,so you are not an american \? you believe that your religion should be forced on everyone by the government \? is it ok if i am allowed to teach your children my religion \?,evolution,0
337@4,"or that they just do n't want the child this is not a sufficient argument if you do n't want to have the child , protect yourself , or practice abstinance","you mean no ! sex , 'til you want response ably to nurture a baby what novel ideas !",abortion,0
337@5,object to the woman being required to remain pregnant when she does not want to be,"is that the entire pro choice objection \? is that the whole pro choice argument \? does it really boil down to a question of pregnancy versus death , rather than slavery versus death \? if so , i am pro life",abortion,0
338@0,"yep , the bushies want to bankrupt the country",but only in a good cause which is defined as putting money into the pockets of friends of the bush dynasty registering gays in dc is not going to do that nor will a lot of other worthy programs on the other hand tearing down a country with one hand while rebuilding it with the other and paying for both ones own armaments and those of the enemy manages the job nicely and after all the right people will come out ahead since they can hire all the cheap servants they want,gay marriage,0
338@1,"seems like you criticize him for allowing the government to give something , then criticize because it 's not enough","so what 's the deal when gwb gives 3 , 000 but the insurance premiums cost 6 , 000 , the family ca n't make up the difference and the 3 , 000 goes unspent all we 've accomplished is to transfer out of the u s treasury you think it 's a good idea to just give money away and not get anything for it \? you 're thinking of the clinton years when there was a surplus",healthcare,1
338@2,"i feel that though the overwhelming number of objections brought up by clive14 and the later objections by de , i did not represent the intelligent design position as well as i could have , had i spent more time and thought on the debate therefore , i am offering in this thread a complete rebuttal of the objections to irreducible complexity that has been brought forth by dametel if dametel wishes to do a formal debate on the subject , i am willing so , here goes 8230","you lost this debate skeptic , why drag it back up again \? there are plenty of other subjects that we could debate instead pick one of them and let 's debate again alternatively , how about a formal debate on id in which you never once mention behe \? that 'll be a completely different one and worth considering",evolution,1
338@3,"here 's an excerpt from the transcript of joe horn 's 911 call joe horn , texas resident they just stole something im going after them , im sorry 911 operator dont go outside joe horn , texas resident i aint letting them get away with this s t they stole something they got a bag of something 911 operator mr horn , do not go outside the house joe horn , texas resident i'm sorry this ai n't right , buddy 911 operator you 're going to get yourself shot if you go outside that house with a gun i do n't care what you think horn you want to make a bet \? i'm going to kill them 911 operator ok \? stay in the house horn they 're getting away joe horn took his shotgun , went out to confront the burglars as they were leaving his neighbor 's house , and shot both to death in an interesting twist , weeks after the shooting , the pasadena police department revealed that , unbeknownst to joe horn a plainclothes pasadena detective witnessed the nov 14 shootings after he pulled up in an unmarked car seconds before horn fired three shots from his 12 gauge shotgun corbett said the plainclothes detective , whose name has not been released , had parked in front of horn 's house in response to the 911 call he saw the men between horn 's house and his neighbor 's before they crossed into horn 's front yard according to the chronicle corbett believes neither horn nor the men knew a police officer was present 'it was over within seconds the detective never had time to say anything before the shots were fired , ' corbett said 'at first , the officer was assessing the situation then he was worried horn might mistake him for the `wheel man' \( get away driver \) he ducked at one point ' and horn didnt go to jail thanks to those right to kill laws or castle laws that the nra supports !","good shooting ! got two illegal alien perps that had been deported for previous felonies and just committed another after illegally entering the country again we need more joe horns and a heck of a lot less bradies ! is this the only case you could find of a ccw exercising his rights \( you know the law applies to any citizen of texas do n't you and they need not be licensed \? \) completely justified in the penal code of texas self defense and defense of a third person or property is justified and required by law it is your public duty job well done mr horn ! ! how come you do n't post links \( deleted by poster \) \? this is old news , almost 3 years ago to be exact did you think it was sensational \? lol",gun control,1
338@4,originally posted by simone i rather think that the incidence of abortion is far lower in europe owing to their higher standards of sex education and access to contraception without the impeding hypocrisy of american religious culture,"simone is quite right women will no longer breed to order according to the dictats of outdated religion british muslim women will follow at some point \( many already are \) there are a few hothead extremists who sit on london street corners with placards stating that uk will be islamic , sharia law for uk etc etc but those nutters are ignored along with all the other \( non religious \) nutters currently walking the streets of london \( for the record , muslims make up 2 1 per cent of the total united kingdom population they are hardly taking over \) muslims are taking over the world is a poor excuse of a reason to be anti abortion and shows desperation , imo !",abortion,1
338@5,"i am a giant sleeping alien that is having strange dream earth does not exist at all , its all in my mind you only think it is silly because i imagine that you do","but you too are a figment of my imagination , and you only think you are a giant alien dreaming about this world because i imagined you as such you cannot disprove this either",evolution,0
338@6,"rubbish , there are many that argue otherwise the life of twins can be viewed as starting at the moment the zygote embryo splits for example the reality though is there is no single point at which a human life begins the moment the egg and sperm form , the moment of conception , first division and implantation , the moment the heart starts to beat , the moment of birth etc all mark stages in the formation of a new life","oh yeah rubbish rubbish , scientifically speaking , human life \( using a most bsic term \) begins at conception the twins exist as two seperate entities the moment each contains the individual human dna seems to me you better be certain when it begins before you go around ending it if you are driving at night an you think you might see a person ahead in the middle of the road you are hopefully not gonna drive over that person instead that uncertainty should lead you to stop if you dont like that example , consider a hunter who is unsure what is in the bushes",abortion,0
339@0,"very well written in the spirit of debate , possibly too well written you have to learn to temper your article , leave the anti gunners some room to argue , the we can make them look stupid if you just lay out your case , back it up with historical precedent , provide links to articles written by knowledgable and noted scholars , and answer the most frequently used \( and stupid \) rebuttal \( what about nukes \) , then you leave the gg 's very little room to spout off and look foolish shame on you","my bad , daewoo how inconsiderate of me !",gun control,0
339@1,"basic law 101 you can drive by 15 1 2 with a licensed adult over 25 in the car not 18 or 21 , but 25 so it is n't a matter of potential peers watching each other and your opening post referred to 14 year olds or above , as it shows below","that 's still driving , and 15 1 2 is still 15 my original post is talking about 14 year olds , but i am now talking about 16 and 17 year olds",abortion,1
339@2,the whole change the definition of marriage is mainly a scare tactic used by anti gay religious bigots they do n't seem to realize that words can have several meanings,"it is also a desperate tactic because there are no other intelligent arguments it is really a non tactic , and merely just a re statement of their position i am opposed to changing the definition of marriage to include same sex couples in the marriage laws because that would change the definition it is semantically indistinguishable from saying , i do n't like the idea of same sex marriage when objectively assessing the pros and cons , there are no valid arguments against same sex marriage , except for biblical admonitions \( which are not really objective , anyway \)",gay marriage,1
339@5,"as will become clear in the following , i maintain that these amino acid pre trnas came directly from the biosynthetic pathways of the first six amino acids evolving along the biosynthetic pathways of energetic metabolism and that they were the first amino acids to be codified on these still evolving mrnas","it should be noted that other exotic amino acids are also used by a few other codes \( derived form the original \) e g selenocysteine and pyrrolysine are encoded for in many archaea and vertebrates archaea , however seem to be the most primitive organisms , thus these encoded amino acids must have been fixated early on thus an interesting question can be applied to an evolving code as posited in the above quote are these still evolving mrnas , still evolving \? or did it hit an inevitable global optimum \? secondly , from the article",evolution,1
340@0,"but of course , the real issue is whether or not changing marriage is a civil right to begin with , because these ballot initiatives are generally about whether marriage should be protected from being redefined",oh my stars and garters he actually admitted what the real issue is,gay marriage,0
340@1,"being a proud owner of a prius , i ca n't help but wonder how much that would cut into the milage let 's see , light crowd , medium or heavy surely it would do better than anything else would n't it",i dunno those priuses are so small inside and out how much explosive compound could hasan fit into the thing and still be able to get in and drive it \?,gun control,0
340@2,the bible reports there was a time in the history of humans that lifespans were incredibly long according to genesis people lived to over 900 years old,how is mythology relevant \?,evolution,0
340@3,i keep hearing the statement let the people decide or let the people vote why should people be allowed to vote on my marriage \? no where else and in no other civil rights aspect do we see this type of statement,"because matthew , society has to take the time to define its standards we do n't start with the assumption that anything goes standards are developed over time your question is no different than the recent couple in germany in the news who are brother and sister wondering why they should not be allowed to marry marriage laws have to have limits somewhere in terms of what sort of arrangements of people suffice to be considered marriage , and this is all a part of simply determining \( over time \) where those limits fall many rights in our society did have to go through a people deciding process , so you are wrong that on no other issue do we see that sort of thing happening in fact , even with civil rights itself , it happened in the form of the civil rights act of 1964 it happened earlier than that with women 's suffrage voting on civil rights is a well established precedent some things have become rights , some have n't it 's a process that our society goes through in defining its standards the problem is that some in your movement seem to want to circumvent that process",gay marriage,1
340@4,"why sure , i 'll simply report the facts and let you decide , unlike msnbc !",somehow i do n't think a high percentage of ham 's facts are facts,evolution,0
340@6,you want to see the killing of our kids as well,yes it 's part of this massive conspiracy we 're trying to thin out your population so we can take australia for our own,gun control,0
341@0,"i do think that obama has gotten a little spineless on this issue , which i do not like but jyoshu lets not pretend palin mccain would have been better advocates","oh i certainly do n't pretend that and certainly did n't claim that either though a couple of left wing posters here \( who will remain nameless for now \) might take the bizarre step of saying my post to you amounted to as much , if history is any indicator maybe we 'll all luck out and they 'll forget their lenses of bias at home , and instead read claims people actually make",gay marriage,0
341@1,"the biologist must have been thinking that a giant mushroom was the cause and evolve it now , that 's very funny !",i'm quite sure that the biologist did n't get his degree from an accredited university any honest biologist would have realized very quickly that the dna of a mushroom and the non existent dna of an igloo quickly disprove his hypothesis,evolution,1
341@3,"in conjunction , and continuing from the above post i present this it seems that not only do evolutionists put forward examples of artificial selection as evidence of natural selection , they also present purpose as randomness a good example is the typing monkeys scearnio attempts have been made to support evolution by appealing to mathematics to justify long ages for example , nobel prize winner , george wald , wrote , time is the hero of the plot given enough time anything can happen the impossible becomes probable , the improbable becomes certain \( 1 \) thomas huxley \( darwin 's bulldog \) used this technique in oxford , in 1860 , while debating samuel wilberforce he stated that if monkeys randomly strummed typewriter keys for a long enough time , then sooner or later psalm 23 would be printed out huxley used this argument to demonstrate that life could have originated on earth by chance \( 2 \)","what remarkable prescience , considering that the typewriter was invented in 1874 , i must admit that i stopped reading after that izzy",evolution,0
341@5,"mother says d c police shot , injured boy holding toy gun abc 7 news l a police shoot boy carrying toy handgun boy with toy gun fatally shot by west memphis police the commercial appeal orlando sentinel boy had realistic toy gun at milwee middle",do you see the other cities pushing for outrageous standards like nyc \?,gun control,1
342@1,question no 3 is very different than no 1 you suggested an affirmative to any of the three would result in the loss of one 's ccw i do n't buy that,"i suggested nothing you are reading into this some thing that is absent the nurse then informed me , if i had answered yes to any of the questions , i would have lost my concealed carry permit as it would have gone into my medical records and the va would have reported it to homeland security looks like they are going after us vets",gun control,1
342@4,"when the citizen has no rights , then an accusation is enough to convict",this is the situation as it is in britain,gun control,1
342@5,"in a moment of extreme stress , a previously law abiding citizen might commit an act of violence with his or her firearm","yes , everyone is a potential felon fortunately most people never commit a felony and there are many different types of weapons , all which could be used by previously law abiding citizens to commit an act of violence",gun control,1
342@6,its odd that you would use that concept at all do you really think terms used to describe power structures in human organizations are applicable to cells and their subsystems \?,"the word subordinate , it will surprise you to learn , is not limited in its application to human social groups you should check your semantics before you bleat on about words you only partially comprehend of course that 's never slowed you down in any other context , so keep on bleating and braying your problem , not mine but just for fyi subordinate adjective below another in standing or importance inferior , junior , lesser , low , lower2 , minor , minor league , petty , secondary , small , subaltern , under informal smalltime see over under in a position of subordination collateral , dependent , subject , subservient see over under , part whole the usage as a value judgement applies here because it rflects the darwinist materialist attitude towards genes and whole organisms , where genes are given primary importance , especially in evolutionary biology the second sense , that of 'contingent' and 'dependent' is strictly a matter of objective classification and is often used in systems studies , and is not confined to human social systems at all for instance , our moon and sun are subordinate to our sun see dependent also dependant adjective determined or to be determined by someone or something else conditional , conditioned , contingent , relative , reliant , subject see start end in a position of subordination collateral , subject , subordinate , subservient see over under , part whole all of the above at answers com , and readily available in something that you obviously never use a thesaurus",evolution,1
344@0,"it 's been upgraded from theory to a law a long time before you were born , as far as i'm aware it 's has n't been a theory for a long time things are a theory until enough scientists reproduce the same results repeatedly then it becomes a law","and wrong again hypotheses become theories once enough scientists reproduce the same results repeatedl as you crudely phrase it laws deal with tiny parts of the theory that can be expressed in simple mathematical terms natural selection is in it 's basic form a law but there is masses more to it than a simple law , so it gets to be a theory theories are the pinacle of achievement in science they are , in simple laymen 's terms , fact",evolution,1
344@1,"monkeys show sense of justice absolutely amazing and capuchins , although bright relative to most other mammals , are n't as bright as chimps",good old monkeys ! what ca n't we learn from them since we are in the creation vs evolution section i'm guessing that your debate here is that monkeys and humans show some similar ways of thinking such as in this experiment it does seem like further evidence that evolution did take place between our two species although it is n't a case cracker by any means,evolution,1
344@2,but this fact of degeneration is quite lethal to evolutionists not only does it make their wild ideas for the origin evolution of life improbable it makes them impossible,"well , the degeneration point is weak , and you should know that the origin angle is also quite weak",evolution,0
344@3,"except for the fact that guns were around long before browning was ever born browning did n't invent the gun , he just made some of the finest models ever to exist","no one said he invented guns ! a straw man argument is an informal fallacy based on misrepresentation of an opponent 's position 1 to attack a straw man is to create the illusion of having refuted a proposition by substituting a superficially similar proposition \( the straw man \) , and refuting it , without ever having actually refuted the original position 1 2",gun control,1
344@4,"it 's ridiculous , but evolutionists make such assumptions every day that deal with nothing more than shallow presumptions that are n't evidence of anything at all","i take it you have no understanding of science , much less the scientific method \?",evolution,0
344@5,i do agree that channeling male aggression into non lethal pursuits is worthwhile i do n't see a place for firearms in that effort,then let 's move this discussion to another forum where it would be more appropriate,gun control,1
344@6,"the key question is , really , whether guns make violent events more lethal","no , the question is why you let violent individuals remain free in public",gun control,0
345@1,or that strange pull to make a bad decision,i know of no such strange pull i have heard of psychotics who have such impulses and even some who hear voices i worked with one once he was fairly stable and quite likeable when he took his medication,evolution,1
345@3,now you 're being ridiculous,certain people include the big bang in the general theory of evolution this is the statement i made and it is a fact and not ridiculous i did not discuss the truth of the statement i made the comment the statement is made,evolution,1
345@4,"logic cannot come from experience because people 's experiences change and are different which means that the laws of logic could change logic does not come from your mother 's teaching because not everyone has a mother and mothers think differently again , if the laws of logic are human constructs then how can they be absolute since humans think differently and often contradictorily if they are produced from human minds , and human minds are mutually contradictory , then how can the constructs be absolute \? therefore , the laws of logic are not human constructs","some apply logic , some do not so much for contradictory thinking what evidence do you have that suggests logic exists outside of the human mind \? hold the mythology , please from infidels org the concise oxford english dictionary defines logic as the science of reasoning , proof , thinking , or inference logic will let you analyze an argument or a piece of reasoning , and work out whether it is likely to be correct or not it 's worth mentioning a couple of things which logic is not firstly , logical reasoning is not an absolute law which governs the universe many times in the past , people have concluded that because something is logically impossible \( given the science of the day \) , it must be impossible , period it was also believed at one time that euclidean geometry was a universal law it is , after all , logically consistent again , we now know that the rules of euclidean geometry are not universal",existence of God,1
345@5,"i grew up attending several different churches ranging from baptist , nazarene , apostolic , pentacostal , and assembly of god","i see so you seem to be having some difficulty in deciding which religion is actually correct perhaps none is , since all that you mention are relatively recent inventions of men mr kent hovind is scientifically illiterate and just counts on duping the uneducated with just a little effort it is possible to learn that mr hovind proposes pseudoscience even answers in genesis has criticized the points that you find so convincing i suspect that you too , are scientifically illiterate and lack the knowledge to dicern where he is feeding you a line of crud really , it 's not hard to figure out if you have the integrity to look for the real facts if hovind is correct , then every scientist in the world , even the christians , are menbers of a vast conspiracy to deceive you the very idea is simple minded hopefully you will grow up some day",evolution,1
345@6,"wow a very unusual and distressing story , and probably why saline abortions are no longer used it is very unfortunate for her to have to live with that disability",what disability \? the fact that she survived a murderous attempt on her life \?,abortion,1
346@1,i would say genetic changes that have patterns,"what kind of patterns , please be specific what would you expect to see if id were real \? if toe were real we would \( for example \) expect to see nested hierarchies in taxa",evolution,1
346@4,then surely you ca n't explain away why enzyme a and co enzyme b are separate compounds but work together to produce another by product,"well , in the case above , it was step by step first , an existing enzyme was modified to a new use , and over time , became refined to work better and better this is the way evolution works nothing is de novo it 's always a modfication of something else second , a mutation produced a regulator that only allowed the enzyme to be produced if the substrate was available again , this was refined by natural selection over time in the end , the newly evolved system was irreducibly complex , because all three parts have to be present for the system to work and do show us your numbers proving that such processes ca n't produce new information if you do n't know how , i 'd be pleased to show you how a mutation changes the information in a population",evolution,1
347@0,"originally posted by voiceofreason yeah , right i'm not going to take that statistic seriously it does n't agree with the study done by the violence policy center",the vpc has a political agenda the fbi \? that is like saying i believe coke taste better than pepsi because the coke commericial says so,gun control,0
347@1,what amazes me is someone could actually believe a constitutional ban on gay marriage is in anyway a contributing factor to divorce rates,i know it 's almost as silly as thinking gay marriage will undermine heterosexual marriage,gay marriage,0
347@2,"so all of you people who are opposed to imposing your moral belief on someone answer this for me what would have happened if abraham lincoln wouldnt have pushed his moral belief that slavery was wrong and that he wanted to get rid of it \? in a similar and more important issue , we are debating abortion is it moral that 48 million babies' blood is on all of our hands and some of us dont even feel a conviction about it \? \? personally , i think its neccessary for the agenda of ending abortion to be pushed just like abe lincoln pushed his agenda to end slavery",hypocrisy at its highest the civil war was fought to establish the principle that each person owns his own body a principle that the pro life crowd is trying to destroy,abortion,1
347@3,the term evolution itself has evolved so much that its hard for many people to pin an accurate definition to it,"really \? i was n't aware that the definition had changed i do know that a definition was formulated as part of the modern synthesis back in the 1930s and 40s that is the definition i learned some decades ago , it is the one i have always used , and it is the one that i still find in modern biology texts it is also the one that all biologists that i know use , and of course the meaning definition of what evolutionary biologists mean when they talk about evolution should be determined by evolutionary biologists themselves it seems kind of an empty exercise to invent a definition that is n't what evolutionary biologists mean and then argue against it in an effort to disprove evolution let me put it this way , do you think that it would be acceptable in a discussion of christianity if i were allowed to invent my own definition of what a christian means when he talks about salvation \? so please , please tell us about some of these changing defintions like i said , i 've been using the same one for over 40 years and was n't aware that it had changed",evolution,1
347@4,"joe , this is no surprise this pope is a very conservative one and like it or not the roman catholic church and most churches believe the sexual act that gays commit a sin as they would any other sin the church believes love the sinner but hate the sin that will never change my friend","i would n't say most cjurches , because you cannot prove that there is a long list of churches that are accepting of gay folks",gay marriage,1
347@5,joe and it did not refer to homosexuality,"really \? lets see ,",gay marriage,1
348@0,since then it has become the holy grail of the scientific community in explaining how time and space began,"holy grail implies it is like a religion , which it is not if evidence is found that overturns this theory , it will be discarded in favour of a better one",evolution,1
348@2,she violated his rights the 5th says you cant be deprived of life without due process of law well he was deprived of his life and he didnt get his day in court,"actually you 're wrong actually you 're very , very wrong the 5th amendment , and all the other amendments in the bill of rights , only provide protections against government interference , not interference from your neighbors and people who do n't have governmental jobs but just for the sake of argument , if you want to argue how the man 's rights were violated , how about we discuss the rights of the woman \? does n't she have a right to not be raped \? does n't she have a right to be secure in her own home against forced invasion \?",gun control,1
348@4,"the feeling i get is that it does n't matter a wet slap what anyone says or does , you 'll interpret it according to the requirements of your pet conspiracy theory so when people say evolution is n't atheistic , you see it as proof that it is atheistic and evolutionists are liars when umpteen independent scientific disciplines all corroborate the tentative predictions of evolutionary theory , it 's proof that evolution has pervaded all of science and that all scientists are liars when scientists say that i d is religiously motivated pseudoscience and produce documentary evidence to that effect , it 's proof that i d is really good science and scientists want to suppress it because they 're scared","just as you make certain assumptions that never change regarding evo , so does the creationist hold that certain absolutes exist regarding creation , such as a personal god created all that is we understand science ca n't prove god which is a huge stumbling block for the evolutionist , but is n't one at all for us because we can see the spiritual which evades the scientific perspective at all levels of understanding and id would insist that it is evolution that 's the atheistically motivated pseudo science , so we will continue to disagree there also",evolution,1
348@6,it sounds to me that this new enzymatic activity came from non coding dna switching on a gene to produce it that is what one would expect to find,"nope frame shifts move the whole code down one step , making entirely new genes often , this is disastrous , but sometimes , a useful new enzyme results barbarian observes it 's remarkable then , how much progress we 've made you may or may not approve of the theory , but it works very well at learning more about biology and , as you may have noticed , we 've been very successful at interpreting the data we 've learned to do a lot of things as a result one of the most important reasons scientists accept the theory is that it works",evolution,1
349@1,it would be nice if you pick a horse and ride it,he 's doing his best jesus impression remember when jesus rode into jerusalem on the backs of two asses \?,evolution,0
349@4,"yeah , he 's absolutely correct so what 's your point \? you think you deserve special rights \? are you better than straight people \? are you superior people because your preferred form of sex does n't allow for pro creation as god commanded humanity to do \? is this your argument \?",and what is so special about religion that give people special rights for a choice \? i say no special rights for religion,gay marriage,0
350@1,of those add new body parts except for this one evolution of multicellularity in a unicellular green alga \( boraas 1983 boraas et al 1998 \) which is n't even a result of mutation got anything else \?,nice raising the bar fallacies are a creationist 's best friend you claimed have never shown to add any new structure or even a new part to any existing structure now you are changing your argument away from structure as new proteins and especially enzymes \( which are proteins \) do n't count,evolution,1
350@2,"because christianity has already proven to be a lie and completely absurd , all of the legislated morality on it is invalid do you , christascended , see a problem with relying on a unproven assertion for your debate \? where you relied on assuming falsely that evolution has been disproved , my example relies on christanity already being proven to be false as well neither your or my underlying assumption is true therefore , you cannot create a meaningful or even valid discussion based on something that is merely conjecture , especially when it comes to ethics","oh , please show me this i wait with bated breath for you to provide the quotation in which i assumed that evolution has been disproved i'm really looking forward to your providing of this until then , you are n't worth my time , strawman",evolution,0
350@4,"feel free samiinh after all , chemist asked me the same question just yesterday pertaining to the same subject and the same question about being angry at an allegedly non existent god applies to you too","so , iow , you are saying that those of us who are intelligent enough to realize that your non existent imaginary god does n't exist have a chemical imbalance \? wow , that 's quite a stretch even for you archie baby",existence of God,0
350@5,porky pine put that link in there not out of laziness but out of intelligence this argument has already been attacked and in the minds of every intelligent person it has been thwarted just because you ca n't wrap your mind around such big words and scary numbers does n't mean it has n't been answered,giving an answer to a conumdum does n't necessarily solve it,evolution,0
351@1,"in the 1960s the base of the cambrian was determined to be 570 million years old , and this date appears on age compilations even in the late 1980s recently , however , there have been significant improvements in radiometric dating techniques the precambrian cambrian boundary is now dated at 543 million years old the middle cambrian is dated at about 510 million years ago , whereas the oldest trilobites are no more than 522 million years old , which suggests that the bulk of cambrian time was pre trilobite \( rare earth why complex life is uncommon in the universe , peter d ward amp donald brownlee , copernicus springer verlag , 2000 , p130 131 \)","2 \) even if we accept the statement nearly all animal phyla made their first appearance about 543 525 million years ago \( note the wonder what that material says \) , it still does n't address the appearance of the vast majority of species , or of higher taxa like genera and classes why are there no robins , eagles , vultures , chickens , emus , frogs , turtles , lizards , alligators , sharks , carp , perch , dolphins , whales , seals , foxes , rabbits , cats , dogs , deer , antelope , zebra , horses , kangaroos , elephants , bats , monkeys , chimps , humans , and so on in the burgess shale or other cambrian strata \? evolution has a perfectly reasonable , and supported , explanation but if god created all animals on day x , then we should expect to find all types of animals elephants amp humans amp mice , trilobites , and dinosaurs of all various sizes and mobilities , for example all mixed in the same strata but we do n't \( ps and flood sorting does n't resolve this problem with the religious , creationist position \) 3 \) the cambrian explosion was not really a sudden explosion , but more of a extended event a recent article \( the early evolution of animals , david j bottjer , scientific american , august 2005 \) describes a bilaterian a bilaterally symmetrical animal found in strata that is dated to between 580 million and 600 million years old that 's roughly 45 to 50 million years prior to the beginning of the cambrian explosion and the author adds",evolution,1
351@3,nobody is advocating that everyone be gay only that there is fairness and equality for those who are \( and no saying they can marry someone they ca n't love or are attracted to is not fair or equal \) and it 's rather interesting that you compare those who seek equality with an oppresor like the nazi party just who is trying to hurt who in the gay marriage issue \? \? \? \? you also seem to know very little about the history of anti semitism in germany you can keep your family values away from me and my family we do n't include hate in our moral compass,"oh please dont give me that xxxx its so great that you can try to turn that whole statement and point at me being at fault but that in and of itself shows you are at fault because you think that without your way the world would cease honestly , the world has lived without gay marriage its whole existence so why implement it now \? \? shouldnt that say something about the human race when it steeps so low to want to call homosexuals married couples \?",gay marriage,0
352@0,"people have claimed that owning a gun makes you more likely to be shot well , there is the risk of suicide , but i'm talking sane people here so how would owning a firearm make the owner more likely to be shot \? how would it make him more likely to be killed \?",accidents for one just last week a man who was drinking and cleaning his firearm accidentally shot and killed his daughter run a google search for man shoots self the amount of accidental shootings is rather disturbing yet funny most of these however are due to improper gun safety though,gun control,1
352@2,no it means that the genome operates in a more complex way than was previously believed it does not mean that life is irreducibly complex since that term is not even sufficiently well defined to test the assertion and given the scattering of information into many pieces i would say that more and more it looks like pieces that happen to be fitted together more and more like a complex kludge exactly what one might expect to find in an evolved system rather than a designed or deliberate or intentional one !,right genes evolved to the point to where they ca n't even be defined anymore evolution has evolved natural selection naturally selected itself out yup,evolution,1
352@3,"creationists believe in microevolution but not macroevolution these terms , which focus on small v large changes , distract from the key issue of information that is , particles to people evolution requires changes that increase genetic information , but all we observe is sorting and loss of information we have yet to see even a micro increase in information , although such changes should be frequent if evolution were true conversely , we do observe quite macro changes that involve no new information , e g when a control gene is switched on or off",ah ! the old information gambit it only shows that anyone who uses this does n't no what they are talking about take a biology genetics class and you 'd realize how stupid this sounds thank you for finding this page ! ! !,evolution,1
